Commodity,Date,Unit,Average Price
Fuel (petrol-gasoline),2023-03-15,L,1300.5594117647058
Fuel (petrol-gasoline),2023-04-15,L,1577.7544444444443
Fuel (petrol-gasoline),2023-05-15,L,1521.145625
Fuel (petrol-gasoline),2023-06-15,L,1500.174375
Fuel (petrol-gasoline),2023-07-15,L,2025.3722727272727
Fuel (petrol-gasoline),2023-08-15,L,1791.986
Fuel (petrol-gasoline),2023-09-15,L,1820.0919047619047
Fuel (petrol-gasoline),2023-10-15,L,1582.0329411764706
Fuel (petrol-gasoline),2023-11-15,L,2000.816
Fuel (petrol-gasoline),2023-12-15,L,2089.300666666667
Fuel (petrol-gasoline),2024-01-15,L,2186.9166666666665
Fuel (petrol-gasoline),2024-02-15,L,1937.5055555555557
Maize (white),2007-08-15,3.5 KG,2.7
Maize (white),2007-09-15,3.5 KG,4.09
Maize (white),2007-10-15,3.5 KG,3.765
Maize (white),2007-11-15,3.5 KG,4.07
Maize (white),2007-12-15,3.5 KG,4.1
Maize (white),2008-01-15,3.5 KG,4.315
Maize (white),2008-02-15,3.5 KG,4.455
Maize (white),2008-03-15,3.5 KG,5.025
Maize (white),2008-04-15,3.5 KG,5.215
Maize (white),2008-05-15,3.5 KG,5.07
Maize (white),2008-06-15,3.5 KG,5.173333333333333
Maize (white),2008-07-15,3.5 KG,5.4350000000000005
Maize (white),2008-08-15,3.5 KG,5.743333333333333
Maize (white),2008-09-15,3.5 KG,6.0200000000000005
Maize (white),2008-10-15,3.5 KG,4.786666666666666
Maize (white),2008-11-15,3.5 KG,4.583333333333333
Maize (white),2008-12-15,3.5 KG,4.800000000000001
Maize (white),2009-01-15,3.5 KG,6.033333333333334
Maize (white),2009-02-15,3.5 KG,5.766666666666667
Maize (white),2009-03-15,3.5 KG,5.2
Maize (white),2009-04-15,3.5 KG,5.225
Maize (white),2009-05-15,3.5 KG,5.03
Maize (white),2009-06-15,3.5 KG,4.925
Maize (white),2009-07-15,3.5 KG,5.3875
Maize (white),2009-08-15,3.5 KG,4.726666666666667
Maize (white),2009-09-15,3.5 KG,4.8525
Maize (white),2009-10-15,3.5 KG,5.55
Maize (white),2009-11-15,3.5 KG,5.516
Maize (white),2009-12-15,3.5 KG,5.972
Maize (white),2010-01-15,3.5 KG,6.843999999999999
Maize (white),2010-02-15,3.5 KG,5.720000000000001
Maize (white),2010-03-15,3.5 KG,4.833333333333333
Maize (white),2010-04-15,3.5 KG,7.673999999999999
Maize (white),2010-05-15,3.5 KG,4.97
Maize (white),2010-06-15,3.5 KG,7.5
Maize (white),2010-07-15,3.5 KG,6.166666666666667
Maize (white),2010-08-15,3.5 KG,6.5
Maize (white),2010-09-15,3.5 KG,7.979999999999999
Maize (white),2010-10-15,3.5 KG,6.833333333333333
Maize (white),2010-11-15,3.5 KG,10.276
Maize (white),2010-12-15,3.5 KG,9.74
Maize (white),2011-01-15,3.5 KG,9.95
Maize (white),2011-02-15,3.5 KG,9.074
Maize (white),2011-03-15,3.5 KG,9.232
Maize (white),2011-04-15,3.5 KG,9.724
Maize (white),2011-05-15,3.5 KG,8.040000000000001
Maize (white),2011-06-15,3.5 KG,11.596666666666666
Maize (white),2011-07-15,3.5 KG,9.373333333333331
Maize (white),2011-08-15,3.5 KG,8.75
Maize (white),2011-09-15,3.5 KG,12.5
Maize (white),2011-10-15,3.5 KG,9.55
Maize (white),2011-11-15,3.5 KG,10.3425
Maize (white),2011-12-15,3.5 KG,11.5
Maize (white),2012-01-15,3.5 KG,12.22
Maize (white),2012-02-15,3.5 KG,12.25
Maize (white),2012-03-15,3.5 KG,13.84
Maize (white),2012-04-15,3.5 KG,13.392857142857142
Maize (white),2012-05-15,3.5 KG,17.821428571428573
Maize (white),2012-07-15,3.5 KG,8.65
Maize (white),2012-08-15,3.5 KG,55.150000000000006
Maize (white),2012-09-15,3.5 KG,74.02000000000001
Maize (white),2012-10-15,3.5 KG,11.107142857142858
Maize (white),2012-11-15,3.5 KG,11.464285714285714
Maize (white),2012-12-15,3.5 KG,11.375
Maize (white),2013-01-15,3.5 KG,12.15625
Maize (white),2013-02-15,3.5 KG,13.99375
Maize (white),2013-03-15,3.5 KG,12.8375
Maize (white),2013-04-15,3.5 KG,14.542857142857144
Maize (white),2013-05-15,3.5 KG,14.714285714285714
Maize (white),2013-06-15,3.5 KG,14.4375
Maize (white),2013-07-15,3.5 KG,14.0625
Maize (white),2013-08-15,3.5 KG,14.125
Maize (white),2013-09-15,3.5 KG,14.03125
Maize (white),2013-10-15,3.5 KG,13.03125
Maize (white),2013-11-15,3.5 KG,13.125
Maize (white),2013-12-15,3.5 KG,12.89375
Maize (white),2014-01-15,3.5 KG,10.0
Maize (white),2014-02-15,3.5 KG,9.333333333333334
Maize (white),2014-03-15,3.5 KG,9.333333333333334
Maize (white),2014-04-15,3.5 KG,9.0
Maize (white),2014-05-15,3.5 KG,9.0
Maize (white),2014-06-15,3.5 KG,10.0
Maize (white),2014-07-15,3.5 KG,10.0
Maize (white),2014-08-15,3.5 KG,12.833333333333334
Maize (white),2014-09-15,3.5 KG,12.25
Maize (white),2014-10-15,3.5 KG,11.625
Maize (white),2014-11-15,3.5 KG,14.48
Maize (white),2014-12-15,3.5 KG,12.8125
Maize (white),2015-01-15,3.5 KG,15.7125
Maize (white),2015-02-15,3.5 KG,14.028571428571428
Maize (white),2015-03-15,3.5 KG,11.28
Maize (white),2015-04-15,3.5 KG,19.6875
Maize (white),2015-05-15,3.5 KG,25.65
Maize (white),2015-06-15,3.5 KG,26.33333333333333
Maize (white),2015-07-15,3.5 KG,27.96666666666667
Maize (white),2015-08-15,3.5 KG,28.416666666666668
Maize (white),2015-09-15,3.5 KG,26.83333333333333
Maize (white),2015-10-15,3.5 KG,29.22
Maize (white),2015-11-15,3.5 KG,34.2
Maize (white),2015-12-15,3.5 KG,38.45
Maize (white),2016-01-15,3.5 KG,36.57142857142857
Maize (white),2016-02-15,3.5 KG,43.3
Maize (white),2016-03-15,3.5 KG,56.88333333333333
Maize (white),2016-04-15,3.5 KG,52.333333333333336
Maize (white),2016-05-15,3.5 KG,62.7
Maize (white),2016-06-15,3.5 KG,68.3
Maize (white),2016-07-15,3.5 KG,125.0
Maize (white),2016-08-15,3.5 KG,155.69500000000002
Maize (white),2016-09-15,3.5 KG,120.58333333333331
Maize (white),2016-10-15,3.5 KG,149.79166666666666
Maize (white),2016-11-15,3.5 KG,173.625
Maize (white),2016-12-15,3.5 KG,202.79166666666663
Maize (white),2017-01-15,3.5 KG,233.5
Maize (white),2017-02-15,3.5 KG,221.91666666666663
Maize (white),2017-03-15,3.5 KG,240.16666666666663
Maize (white),2017-04-15,3.5 KG,304.1666666666667
Maize (white),2017-05-15,3.5 KG,391.5
Maize (white),2017-06-15,3.5 KG,329.6666666666667
Maize (white),2017-07-15,3.5 KG,321.0
Maize (white),2017-08-15,3.5 KG,287.3
Maize (white),2017-10-15,3.5 KG,257.1666666666667
Maize (white),2017-11-15,3.5 KG,230.0
Maize (white),2017-12-15,3.5 KG,245.42857142857144
Maize (white),2018-01-15,3.5 KG,285.625
Maize (white),2018-03-15,3.5 KG,355.875
Maize (white),2018-04-15,3.5 KG,392.125
Maize (white),2018-06-15,3.5 KG,398.8571428571428
Maize (white),2018-07-15,3.5 KG,417.9285714285714
Maize (white),2018-08-15,3.5 KG,385.8333333333333
Maize (white),2018-09-15,3.5 KG,370.5833333333333
Maize (white),2018-10-15,3.5 KG,326.5
Maize (white),2018-12-15,3.5 KG,364.7142857142857
Maize (white),2019-01-15,3.5 KG,328.5
Maize (white),2019-02-15,3.5 KG,327.6666666666667
Maize (white),2019-04-15,3.5 KG,374.0
Maize (white),2019-05-15,3.5 KG,300.0
Maize (white),2019-08-15,3.5 KG,150.0
Maize (white),2019-09-15,3.5 KG,269.0
Maize (white),2019-10-15,3.5 KG,300.0
Maize (white),2019-11-15,3.5 KG,382.0
Maize (white),2019-12-15,3.5 KG,425.6
Maize (white),2020-01-15,3.5 KG,459.1
Maize (white),2020-02-15,3.5 KG,224.0
Maize (white),2020-03-15,3.5 KG,427.25
Maize (white),2020-04-15,3.5 KG,428.45875
Maize (white),2020-05-15,3.5 KG,483.3528571428571
Maize (white),2020-06-15,3.5 KG,548.8888888888889
Maize (white),2020-07-15,3.5 KG,613.0644444444445
Maize (white),2020-08-15,3.5 KG,789.8900000000001
Maize (white),2020-09-15,3.5 KG,1165.1422222222222
Maize (white),2020-10-15,3.5 KG,647.6566666666666
Maize (white),2020-11-15,3.5 KG,782.729
Maize (white),2020-12-15,3.5 KG,956.0057142857142
Maize (white),2021-01-15,3.5 KG,828.3340000000001
Maize (white),2021-02-15,3.5 KG,1045.41625
Maize (white),2021-03-15,3.5 KG,941.08625
Maize (white),2021-04-15,3.5 KG,971.18125
Maize (white),2021-05-15,3.5 KG,915.196
Maize (white),2021-06-15,3.5 KG,904.696
Maize (white),2021-07-15,3.5 KG,848.8688888888888
Maize (white),2021-08-15,3.5 KG,820.4708333333333
Maize (white),2021-09-15,3.5 KG,793.835
Maize (white),2021-10-15,3.5 KG,806.25
Maize (white),2021-11-15,3.5 KG,818.7184615384615
Maize (white),2021-12-15,3.5 KG,892.475
Maize (white),2022-01-15,3.5 KG,903.0284615384614
Maize (white),2022-02-15,3.5 KG,955.8333333333334
Maize (white),2022-03-15,3.5 KG,845.4545454545455
Maize (white),2022-04-15,3.5 KG,882.6715384615384
Maize (white),2022-05-15,3.5 KG,908.493076923077
Maize (white),2022-06-15,3.5 KG,964.3423076923076
Maize (white),2022-07-15,3.5 KG,1295.1963636363637
Maize (white),2022-08-15,3.5 KG,1719.691
Maize (white),2022-09-15,3.5 KG,1685.888
Maize (white),2022-10-15,3.5 KG,1508.333
Maize (white),2022-11-15,3.5 KG,1505.0369999999998
Maize (white),2022-12-15,3.5 KG,1743.871
Maize (white),2023-01-15,3.5 KG,1607.664
Maize (white),2023-02-15,3.5 KG,1850.785
Maize (white),2023-03-15,3.5 KG,2010.28
Maize (white),2023-04-15,3.5 KG,2492.956
Maize (white),2023-05-15,3.5 KG,2700.02625
Maize (white),2023-06-15,3.5 KG,3071.369285714285
Maize (white),2023-07-15,3.5 KG,3481.41
Maize (white),2023-08-15,3.5 KG,3150.3413333333333
Maize (white),2023-09-15,3.5 KG,2783.3686666666667
Maize (white),2023-10-15,3.5 KG,2698.07875
Maize (white),2023-11-15,3.5 KG,2434.4664285714284
Maize (white),2023-12-15,3.5 KG,2699.148333333333
Maize (white),2024-01-15,3.5 KG,2651.204444444445
Maize (white),2024-02-15,3.5 KG,3135.712857142857
Meat (beef),2020-03-15,KG,1063.235294117647
Meat (beef),2020-04-15,KG,1105.4170588235295
Meat (beef),2020-05-15,KG,1111.764705882353
Meat (beef),2020-06-15,KG,1174.3857894736843
Meat (beef),2020-07-15,KG,1216.8731578947368
Meat (beef),2020-08-15,KG,1230.9157894736843
Meat (beef),2020-09-15,KG,1293.4483333333333
Meat (beef),2020-10-15,KG,1429.571428571429
Meat (beef),2020-11-15,KG,1408.6558823529413
Meat (beef),2020-12-15,KG,1493.2671428571427
Meat (beef),2021-01-15,KG,1602.3149999999998
Meat (beef),2021-02-15,KG,1617.2220000000002
Meat (beef),2021-03-15,KG,1687.361111111111
Meat (beef),2021-04-15,KG,1738.2358823529412
Meat (beef),2021-05-15,KG,1712.5057894736842
Meat (beef),2021-06-15,KG,1657.5036842105262
Meat (beef),2021-07-15,KG,1742.4515789473685
Meat (beef),2021-08-15,KG,1672.3068181818182
Meat (beef),2021-09-15,KG,1692.117727272727
Meat (beef),2021-10-15,KG,1730.952380952381
Meat (beef),2021-11-15,KG,1777.291818181818
Meat (beef),2021-12-15,KG,1769.814
Meat (beef),2022-01-15,KG,1888.2640909090908
Meat (beef),2022-02-15,KG,1915.5245454545452
Meat (beef),2022-03-15,KG,1865.4736842105265
Meat (beef),2022-04-15,KG,1848.124761904762
Meat (beef),2022-05-15,KG,1965.5509090909093
Meat (beef),2022-06-15,KG,2020.9371428571428
Meat (beef),2022-07-15,KG,2079.512380952381
Meat (beef),2022-08-15,KG,2132.609130434783
Meat (beef),2022-09-15,KG,2139.304347826087
Meat (beef),2022-10-15,KG,2178.788181818182
Meat (beef),2022-11-15,KG,2233.485
Meat (beef),2022-12-15,KG,2303.226
Meat (beef),2023-01-15,KG,2286.9173684210527
Meat (beef),2023-02-15,KG,2484.597272727273
Meat (beef),2023-03-15,KG,2457.5468
Meat (beef),2023-04-15,KG,2594.6125
Meat (beef),2023-05-15,KG,3030.9029166666664
Meat (beef),2023-06-15,KG,3198.814782608696
Meat (beef),2023-07-15,KG,3261.718571428571
Meat (beef),2023-08-15,KG,3501.8796296296296
Meat (beef),2023-09-15,KG,3686.7588
Meat (beef),2023-10-15,KG,3974.167083333333
Meat (beef),2023-11-15,KG,4118.647391304347
Meat (beef),2023-12-15,KG,4163.663500000001
Meat (beef),2024-01-15,KG,4106.727222222222
Meat (beef),2024-02-15,KG,4275.0075
Oil (vegetable),2013-04-15,L,12.314285714285717
Oil (vegetable),2013-05-15,L,12.55714285714286
Oil (vegetable),2013-06-15,L,13.2125
Oil (vegetable),2013-07-15,L,11.5
Oil (vegetable),2013-08-15,L,13.2375
Oil (vegetable),2013-09-15,L,13.5875
Oil (vegetable),2013-10-15,L,12.15625
Oil (vegetable),2013-11-15,L,11.53125
Oil (vegetable),2013-12-15,L,12.46875
Oil (vegetable),2014-01-15,L,11.333333333333334
Oil (vegetable),2014-02-15,L,10.333333333333334
Oil (vegetable),2014-03-15,L,11.666666666666666
Oil (vegetable),2014-04-15,L,10.0
Oil (vegetable),2014-05-15,L,8.666666666666666
Oil (vegetable),2014-06-15,L,9.333333333333334
Oil (vegetable),2014-07-15,L,9.333333333333334
Oil (vegetable),2014-08-15,L,11.875
Oil (vegetable),2014-09-15,L,12.25
Oil (vegetable),2014-10-15,L,12.59375
Oil (vegetable),2014-11-15,L,15.37
Oil (vegetable),2014-12-15,L,12.6625
Oil (vegetable),2015-01-15,L,13.125
Oil (vegetable),2015-02-15,L,15.75
Oil (vegetable),2015-03-15,L,14.575
Oil (vegetable),2015-04-15,L,17.0
Oil (vegetable),2015-05-15,L,18.345454545454547
Oil (vegetable),2015-06-15,L,20.78181818181818
Oil (vegetable),2015-07-15,L,24.13636363636364
Oil (vegetable),2015-08-15,L,25.022727272727277
Oil (vegetable),2015-09-15,L,27.163636363636364
Oil (vegetable),2015-10-15,L,25.00555555555556
Oil (vegetable),2015-11-15,L,29.481818181818184
Oil (vegetable),2015-12-15,L,31.345454545454547
Oil (vegetable),2016-01-15,L,38.020833333333336
Oil (vegetable),2016-02-15,L,52.40909090909091
Oil (vegetable),2016-03-15,L,53.25
Oil (vegetable),2016-04-15,L,52.208333333333336
Oil (vegetable),2016-05-15,L,66.4090909090909
Oil (vegetable),2016-06-15,L,71.16181818181818
Oil (vegetable),2016-07-15,L,105.2190909090909
Oil (vegetable),2016-08-15,L,132.97727272727272
Oil (vegetable),2016-09-15,L,117.875
Oil (vegetable),2016-10-15,L,120.5
Oil (vegetable),2016-11-15,L,132.305
Oil (vegetable),2016-12-15,L,139.82
Oil (vegetable),2017-01-15,L,185.36111111111111
Oil (vegetable),2017-02-15,L,189.12
Oil (vegetable),2017-03-15,L,206.6
Oil (vegetable),2017-04-15,L,236.15
Oil (vegetable),2017-05-15,L,255.0
Oil (vegetable),2017-06-15,L,280.5833333333333
Oil (vegetable),2017-07-15,L,295.72727272727275
Oil (vegetable),2017-08-15,L,275.5345454545455
Oil (vegetable),2017-09-15,L,312.5
Oil (vegetable),2017-10-15,L,293.1818181818182
Oil (vegetable),2017-11-15,L,301.0
Oil (vegetable),2017-12-15,L,292.8
Oil (vegetable),2018-01-15,L,297.4
Oil (vegetable),2018-02-15,L,397.25
Oil (vegetable),2018-03-15,L,372.09090909090907
Oil (vegetable),2018-04-15,L,445.45
Oil (vegetable),2018-05-15,L,378.0
Oil (vegetable),2018-06-15,L,482.1388888888889
Oil (vegetable),2018-07-15,L,467.4
Oil (vegetable),2018-08-15,L,404.1111111111111
Oil (vegetable),2018-09-15,L,474.73333333333335
Oil (vegetable),2018-10-15,L,390.5
Oil (vegetable),2018-11-15,L,379.25
Oil (vegetable),2018-12-15,L,493.3
Oil (vegetable),2019-01-15,L,495.25
Oil (vegetable),2019-02-15,L,479.0
Oil (vegetable),2019-03-15,L,510.3333333333333
Oil (vegetable),2019-04-15,L,566.6666666666666
Oil (vegetable),2019-05-15,L,554.1818181818181
Oil (vegetable),2019-06-15,L,519.1818181818181
Oil (vegetable),2019-07-15,L,568.5833333333334
Oil (vegetable),2019-08-15,L,555.5
Oil (vegetable),2019-09-15,L,536.1363636363636
Oil (vegetable),2019-10-15,L,559.8181818181819
Oil (vegetable),2019-11-15,L,551.5714285714286
Oil (vegetable),2019-12-15,L,561.8571428571429
Oil (vegetable),2020-01-15,L,589.0
Oil (vegetable),2020-02-15,L,614.25
Oil (vegetable),2020-03-15,L,664.3421052631579
Oil (vegetable),2020-04-15,L,998.6836842105262
Oil (vegetable),2020-05-15,L,714.2888235294117
Oil (vegetable),2020-06-15,L,648.1136842105263
Oil (vegetable),2020-07-15,L,686.9215789473684
Oil (vegetable),2020-08-15,L,725.8542105263158
Oil (vegetable),2020-09-15,L,853.6322222222223
Oil (vegetable),2020-10-15,L,889.76
Oil (vegetable),2020-11-15,L,922.1441176470588
Oil (vegetable),2020-12-15,L,1040.8021428571428
Oil (vegetable),2021-01-15,L,1087.499375
Oil (vegetable),2021-02-15,L,1087.5
Oil (vegetable),2021-03-15,L,1253.381666666667
Oil (vegetable),2021-04-15,L,1407.189411764706
Oil (vegetable),2021-05-15,L,1428.6752631578947
Oil (vegetable),2021-06-15,L,1423.341052631579
Oil (vegetable),2021-07-15,L,1369.027894736842
Oil (vegetable),2021-08-15,L,1326.405909090909
Oil (vegetable),2021-09-15,L,1318.641818181818
Oil (vegetable),2021-10-15,L,1292.857142857143
Oil (vegetable),2021-11-15,L,1395.9854545454546
Oil (vegetable),2021-12-15,L,1263.4986666666666
Oil (vegetable),2022-01-15,L,1385.1618181818185
Oil (vegetable),2022-02-15,L,1388.3863636363635
Oil (vegetable),2022-03-15,L,1441.9294736842105
Oil (vegetable),2022-04-15,L,1447.8719047619047
Oil (vegetable),2022-05-15,L,1540.6872727272728
Oil (vegetable),2022-06-15,L,1666.2009523809525
Oil (vegetable),2022-07-15,L,1898.88
Oil (vegetable),2022-08-15,L,2142.7130434782607
Oil (vegetable),2022-09-15,L,2231.826086956521
Oil (vegetable),2022-10-15,L,2196.817727272727
Oil (vegetable),2022-11-15,L,2005.9582608695653
Oil (vegetable),2022-12-15,L,1918.0157142857145
Oil (vegetable),2023-01-15,L,2036.7461904761903
Oil (vegetable),2023-02-15,L,2039.297272727273
Oil (vegetable),2023-03-15,L,2268.4234615384617
Oil (vegetable),2023-04-15,L,2422.8145833333333
Oil (vegetable),2023-05-15,L,2429.278333333333
Oil (vegetable),2023-06-15,L,2542.5104347826086
Oil (vegetable),2023-07-15,L,2760.1067857142857
Oil (vegetable),2023-08-15,L,2803.1959259259256
Oil (vegetable),2023-09-15,L,2697.2696
Oil (vegetable),2023-10-15,L,2657.18625
Oil (vegetable),2023-11-15,L,2694.2721739130434
Oil (vegetable),2023-12-15,L,2612.2490000000003
Oil (vegetable),2024-01-15,L,2677.7433333333333
Oil (vegetable),2024-02-15,L,2975.137058823529
